data: abalone.data
k: 3
dim: 8
iter: 30
rounds: 1
datanum: 4177

0: 1333.0201934640756
1: 567.06218396341
2: 535.2935556365301
3: 530.0469506593955
4: 525.5672124155905
5: 522.995467731018
6: 521.5492768221884
7: 520.121721331302
8: 518.519057404182
9: 516.0531152463616
10: 511.8013830825993
11: 505.28552582157994
12: 492.4956477659164
13: 463.71982639971833
14: 418.546247547539
15: 413.13708746427875
16: 411.92830041408666
17: 411.620044173893
18: 411.56537488170613
19: 411.54895075771867
20: 411.5409204385333
21: 411.5336850856255
22: 411.5295732005445
23: 411.52919819757017
24: 411.52919819757017
25: 411.52919819757017
26: 411.52919819757017
27: 411.52919819757017
28: 411.52919819757017
29: 411.52919819757017

took 10.574000597000122 secs
